Headers Found
Header Name	Header Value
Authentication-Results	spf=none (sender IP is 89.144.44.41) smtp.mailfrom=atujpdfghher.co.uk; dkim=none (message not signed) header.d=none;dmarc=permerror action=none header.from=access-accsecurity.com;
Received-SPF	None (protection.outlook.com: atujpdfghher.co.uk does not designate permitted sender hosts)
X-IncomingTopHeaderMarker	OriginalChecksum:06D5E44D57FDABA2A9FF26571D32632925A077655904CD0FE295CB7E1AEB69F9;UpperCasedChecksum:CFA1D3E3C2E07B798603D0669ED9D0AAC7E2276D64994795B6E0A26A63708FE3;SizeAsReceived:394;Count:12
From	Microsoft account team ,_<no-reply@access-accsecurity.com>
Subject	Microsoft account unusual signin activity
To	phishing@pot
Content-Length	22448528
Date	Thu, 24 Aug 2023 08:04:23 +0000
Reply-To	solutionteamrecognizd03@gmail.com
Content-Type	text/html; charset="UTF-8"
Content-Transfer-Encoding	8bit
X-IncomingHeaderCount	12
Message-ID	<c2d7096d-3ccc-4ed5-be09-bf5e50557d75@DB3EUR04FT004.eop-eur04.prod.protection.outlook.com>
Return-Path	bounce@atujpdfghher.co.uk
X-MS-Exchange-Organization-ExpirationStartTime	24 Aug 2023 08:04:23.8475 (UTC)
X-MS-Exchange-Organization-ExpirationStartTimeReason	OriginalSubmit
X-MS-Exchange-Organization-ExpirationInterval	1:00:00:00.0000000
X-MS-Exchange-Organization-ExpirationIntervalReason	OriginalSubmit
X-MS-Exchange-Organization-Network-Message-Id	b3bc6396-75c7-4624-6fe9-08dba478bab4
X-EOPAttributedMessage	0
X-EOPTenantAttributedMessage	84df9e7f-e9f6-40af-b435-aaaaaaaaaaaa:0
X-MS-Exchange-Organization-MessageDirectionality	Incoming
X-MS-PublicTrafficType	Email
X-MS-TrafficTypeDiagnostic	DB3EUR04FT004:EE_|LV8PR19MB8271:EE_|MN0PR19MB6312:EE_
X-MS-Exchange-Organization-AuthSource	DB3EUR04FT004.eop-eur04.prod.protection.outlook.com
X-MS-Exchange-Organization-AuthAs	Anonymous
X-MS-UserLastLogonTime	8/24/2023 7:58:58 AM
X-MS-Office365-Filtering-Correlation-Id	b3bc6396-75c7-4624-6fe9-08dba478bab4
X-MS-Exchange-EOPDirect	true
X-Sender-IP	89.144.44.41
X-SID-PRA	NO-REPLY@ACCESS-ACCSECURITY.COM
X-SID-Result	NONE
X-MS-Exchange-Organization-PCL	2
X-MS-Exchange-Organization-SCL	5
X-Microsoft-Antispam	BCL:6;
X-MS-Exchange-CrossTenant-OriginalArrivalTime	24 Aug 2023 08:04:23.5506 (UTC)
